Congressional District,Two-Digit District,Average Household Size,% Housing Units That Are Mobile Homes,% Housing Units Built in 2005 or Later,% Housing Units Built in 1939 or Earlier,% Homes Heated Principally With Gas,% Homes Heated Principally With Electricity,"% Homes Heated Principally with Fuel Oil, Kerosene, Etc."
Oregon 2,OR-02,2.46,15,5.3,11,38.7,45.6,4.3
Oregon 3,OR-03,2.54,3.1,3.6,24.4,50.3,39,7.2
Oregon 4,OR-04,2.42,13,4.1,8.4,21.4,63.2,1.9
Oregon 5,OR-05,2.57,7,3.7,9.1,45.2,45.8,2.3
Pennsylvania 1,PA-01,2.54,0.3,0.9,45.9,77.9,13.3,8.5
Pennsylvania 2,PA-02,2.23,0.2,1.5,43,76.7,14.2,8.2
Pennsylvania 3,PA-03,2.44,8.8,1.8,28.7,74.6,10.7,8.4
Pennsylvania 4,PA-04,2.42,3.9,2,20.9,78.7,12.3,6.9
Pennsylvania 5,PA-05,2.37,10.8,1.7,30.9,48.7,15.8,23.6
Pennsylvania 6,PA-06,2.55,1.6,3.5,22.2,46.3,22.9,28.6
Pennsylvania 7,PA-07,2.54,0.4,2,18.2,59.3,16.7,23
Pennsylvania 8,PA-08,2.66,1.9,2,8.9,45.5,22.4,30.9
Pennsylvania 9,PA-09,2.47,11.8,2.2,28.6,30.5,22.4,34.4
Pennsylvania 10,PA-10,2.38,8.1,2.1,31.3,31.4,23.1,33.6
Pennsylvania 11,PA-11,2.39,3.4,1.6,37,41.7,24.9,27.6
Pennsylvania 12,PA-12,2.33,8.2,1,33.9,60.9,12.6,20.6
Pennsylvania 13,PA-13,2.51,0.4,1.1,15.9,70.9,14.5,13.8
Pennsylvania 14,PA-14,2.14,0.3,0.5,44,87.6,10.3,0.8
Pennsylvania 15,PA-15,2.55,2.4,4.1,25.1,32.3,31.2,33.7
Pennsylvania 16,PA-16,2.65,3.9,4,24.3,37,30.3,27.8
